id	n_APC	n_Cycling	n_Lymphocyte	n_Mast	n_Stromal
S150	238	2	3776	38	60
S154	1321	9	3494	183	311
S155	1442	1	3965	29	97
S165	547	56	3820	220	11
S169	1884	4	2002	170	154
S170	653	35	4576	132	17
S173	199	1	2285	51	43
S194	191	67	3663	479	86
S195	1381	1	1907	113	837
S198	408	8	3520	242	42
S199	643	6	4241	254	55
S202	735	12	2124	260	243
S204	1793	1	3275	744	231
S207	1406	2	3490	370	315
S211	457	4	3734	359	80
S222	955	17	4156	57	32
S230	1497	47	4279	153	11
S231	390	13	2312	274	7
S232	578	16	3044	111	32
S233	278	3	586	36	11
S235	1653	15	1301	410	33
S236	506	232	4979	190	18
S239	2722	3	3463	438	215
S242	834	1	1846	182	235
S244	820	24	4801	335	108
S248	1881	4	2122	241	488
S253	708	55	2033	488	24
S264	174	2	481	31	6
S269	191	1	431	36	11
S277	100	17	3449	64	21
S279	38	10	4513	17	4
S285	7	0	495	2	1
S286	875	7	4547	164	17
S289	824	13	4121	68	14
S290	250	3	5179	24	3
S292	62	13	5028	79	4
S296	16	6	2046	75	0
S301	32	15	2797	7	0
S304	38	2	779	20	3
S305	10	0	2187	15	4
S310	543	3	808	277	42
S322	679	2	1038	1423	27
