id	n_fibroblast	n_mast
S150	60	36
S154	312	185
S155	97	26
S165	9	222
S169	153	172
S170	16	132
S173	43	52
S194	87	480
S195	838	113
S198	43	243
S199	54	254
S202	240	284
S204	231	743
S207	310	372
S211	81	361
S222	32	55
S230	10	156
S231	8	276
S232	32	113
S233	11	36
S235	33	412
S236	19	198
S239	214	443
S242	232	202
S244	108	334
S248	485	243
S253	24	525
S264	6	31
S269	10	36
S277	19	61
S279	4	16
S285	1	1
S286	17	164
S289	13	68
S290	2	25
S292	4	73
S296	0	76
S301	0	7
S304	3	20
S305	5	15
S310	40	281
S322	29	1454
