local	label	r
L0	Trm1	0.994
L1	Tcm	0.992
L2	CTLex	0.993
L3	Trm2	0.994
L4	eTreg1	0.994
L5	Trm2	0.985
L6	CTLem	0.996
L7	cmTreg	0.988
L8	Tet	0.982
L9	Tcm	0.988
L10	Tmm3	0.972
L11	CTLex	0.966
L12	Tmm2	0.769
L13	Trm2	0.991
L14	NK	0.989
L15	ILC/NK	0.993
L16	eTreg2	0.991
L17	Trm2	0.989
L18	Trm3	0.991
L19	eTreg1	0.983
L20	CTLex	0.977
A0	Mono	0.997
A1	moDC1	0.997
A2	moDC2	0.998
A3	Mac1	0.997
A4	LC1	0.997
A5	LC3	0.993
A6	moDC3	0.995
A7	DC2	0.995
A8	moDC1	0.957
A9	LC1	0.962
A10	Mac1	0.991
A11	LC2	0.887
A12	Mac4	0.99
A13	InfMono	0.984
A14	moDC1	0.968
A15	DC2	0.981
A16	Plasma	0.972
A17	Mac2	0.934
A18	LC1	0.985
B	B	0.976
Mast	Mast	0.998
