ultracluster	PV	Mid	AD
Mac	5.699376647445043	3.0778552334814995	3.5315079188458856
Trm	5.3320448100241045	3.6453625618297734	2.5470389800757642
LC	4.660236264451407	1.7469270017888083	2.7432351878065777
Tmm	4.015264314935596	2.8884856367100737	2.0892440752494594
CTL	3.949035814044097	3.1909570398133558	2.5655782125456286
Mast	3.851350176404768	2.845375359763027	2.1540837279064062
Mono	3.802618294862774	3.0514524083504986	2.6628313078765573
Tcm	3.7997482152926603	3.1308109107885347	2.1731152359442225
moDC	3.759537154321816	2.638750064596664	2.333704284682829
Tet	3.755136741809217	2.550188492487841	1.405359563750925
ILC + NK	3.511989146683535	1.8257062254279932	2.529156057359804
Treg	2.947590810795479	2.149812909057538	2.0013295562922786
DC	1.733262273654446	1.1294826216802853	1.2293994701659705
