ultracluster	Mid	AD
Mac	0.5260737450006366	0.3957721581160805
LC	0.3218912725139493	0.800086188478257
moDC	0.44477229910431265	0.5911525382233374
Trm	0.6023129119190934	0.4064936145401536
Mast	0.546484041244638	0.3839073939507466
ILC + NK	0.18462436527250647	0.6565970974769642
Mono	0.4465461387535421	0.7203135179129461
CTL	0.6503907117040697	0.7268127999926818
Treg	0.4624158278615561	0.751828108850049
Tmm	0.5479392037907663	0.4891093329250335
Tcm	0.6593147006080885	0.7283479403329647
DC	0.3175939855792931	0.6325946274924946
Tet	0.5152284268810949	0.4778336250001839
