ultracluster	PV	AD	Mid
Mac	3.3754096365136337	1.6272451887753743	1.9079962318180208
LC	3.2930973485691606	2.2922744080290745	1.1854470313683254
Trm	2.8319271426025074	0.8666858424474625	1.4977091875417865
Mono	2.4746770752087364	1.691940239295275	1.6175616595227638
ILC + NK	2.330280358874893	1.6353207037229598	0.9857314933533217
moDC	2.3209390201690803	1.3849474335351672	1.3541001771673267
Tmm	2.272277881972607	1.1408007649670213	1.5344366209711737
CTL	2.214759838072725	1.5804139260164922	1.7072595838787044
Mast	2.0919865274173817	1.317499733766796	1.8381791377408017
Treg	1.917456983808398	1.2740575487666894	1.1573116785042887
Tet	1.8520593042799607	0.9833278196572852	1.642994846974781
Tcm	1.7285256053160551	1.2757328440449278	1.6030414902724677
DC	1.4958169096435041	1.0098091665247828	0.8710076028580469
